centre,day,hour,farmers,counters,avg_processing_time,procurement_quantity,waiting_time
Centre_A,Monday,9,18,4,5,120,20
Centre_A,Monday,10,25,4,5,180,30
Centre_A,Monday,11,40,4,6,250,48
Centre_A,Monday,12,48,4,6,300,60
Centre_A,Monday,13,30,4,5,200,38
Centre_A,Tuesday,9,15,4,5,100,17
Centre_A,Tuesday,10,28,4,5,180,32
Centre_A,Tuesday,11,43,4,6,280,52
Centre_A,Tuesday,12,50,4,6,320,63
Centre_A,Tuesday,13,27,4,5,170,34
Centre_B,Monday,9,12,3,5,80,18
Centre_B,Monday,10,20,3,5,130,30
Centre_B,Monday,11,35,3,6,220,55
Centre_B,Monday,12,42,3,6,260,68
Centre_B,Monday,13,25,3,5,160,40
Centre_B,Tuesday,9,14,3,5,90,20
Centre_B,Tuesday,10,22,3,5,140,33
Centre_B,Tuesday,11,38,3,6,230,59
Centre_B,Tuesday,12,45,3,6,290,72
Centre_B,Tuesday,13,24,3,5,150,39
Centre_C,Monday,9,10,5,4,70,10
Centre_C,Monday,10,18,5,4,110,17
Centre_C,Monday,11,25,5,5,180,25
Centre_C,Monday,12,30,5,5,210,31
Centre_C,Monday,13,20,5,4,130,20
Centre_C,Tuesday,9,11,5,4,75,11
Centre_C,Tuesday,10,17,5,4,105,16
Centre_C,Tuesday,11,28,5,5,190,28
Centre_C,Tuesday,12,32,5,5,220,34
Centre_C,Tuesday,13,21,5,4,140,21
