center_id,district,crop,farmers_arrived,farmers_processed,queue_length,number_of_counters,average_processing_time,arrival_rate,hour,day_of_week,is_weekend,is_holiday,waiting_time
C001,Karnal,Wheat,28,13,15,4,5.0,7.89,18,5,0,0,18.9
C004,Sehore,Wheat,33,19,14,2,4.0,6.04,8,4,0,0,30.3
C005,Nashik,Soybean,60,22,38,3,7.0,8.48,8,6,1,0,107.3
C003,Indore,Mustard,33,11,22,3,5.0,2.74,9,2,0,0,39.7
C001,Karnal,Maize,37,29,8,5,8.0,2.63,12,6,1,0,20.9
C003,Indore,Gram,50,47,3,3,4.0,3.82,12,0,1,0,7.6
C004,Sehore,Mustard,39,28,11,5,6.0,4.84,18,2,0,0,15.3
C001,Karnal,Gram,31,15,16,3,8.0,5.7,12,5,0,0,54.1
C003,Indore,Wheat,51,30,21,3,4.0,4.14,11,4,0,0,36.8
C004,Sehore,Soybean,30,13,17,5,5.0,3.97,16,4,0,0,19.4
C005,Nashik,Soybean,46,37,9,4,5.0,5.95,8,6,1,0,14.5
C004,Sehore,Gram,68,43,25,2,7.0,9.97,16,2,0,0,91.9
C001,Karnal,Maize,64,46,18,2,8.0,4.72,12,3,0,0,90.2
C003,Indore,Gram,52,45,7,3,8.0,4.39,18,4,0,0,18.1
C002,Ludhiana,Gram,64,25,39,6,4.0,5.91,9,2,0,0,32.0
C003,Indore,Paddy,47,10,37,2,5.0,2.69,15,6,1,0,111.9
C002,Ludhiana,Paddy,32,21,11,5,8.0,6.22,17,3,0,0,20.6
C002,Ludhiana,Maize,89,46,43,4,7.0,4.99,16,3,0,0,79.3
C003,Indore,Wheat,57,42,15,6,8.0,3.76,9,5,0,0,20.7
C001,Karnal,Mustard,38,22,16,2,8.0,7.35,11,4,0,0,83.7
C005,Nashik,Gram,62,31,31,5,5.0,3.52,9,5,0,0,34.4
C004,Sehore,Maize,34,30,4,2,4.0,7.83,9,1,0,0,8.6
C002,Ludhiana,Soybean,50,20,30,3,6.0,9.0,9,3,0,0,65.0
C001,Karnal,Wheat,26,20,6,6,4.0,3.33,15,3,0,0,4.3
C001,Karnal,Paddy,46,21,25,5,4.0,9.41,15,2,0,0,24.8
C005,Nashik,Maize,36,23,13,5,5.0,3.74,8,4,0,0,12.8
C003,Indore,Wheat,68,37,31,2,8.0,9.36,16,1,0,0,127.8
C002,Ludhiana,Wheat,64,20,44,6,4.0,5.23,17,1,0,0,32.8
C001,Karnal,Soybean,59,25,34,6,8.0,9.48,11,5,0,0,59.7
C004,Sehore,Paddy,30,9,21,4,7.0,2.07,17,4,0,0,37.6
C002,Ludhiana,Gram,32,9,23,4,5.0,9.03,13,2,0,0,40.0
C003,Indore,Gram,83,40,43,6,4.0,4.4,18,0,1,0,36.7
C001,Karnal,Wheat,41,23,18,6,5.0,6.84,13,1,0,0,22.3
C005,Nashik,Soybean,51,45,6,4,4.0,5.39,12,0,1,0,10.4
C003,Indore,Paddy,68,40,28,5,8.0,2.08,9,5,0,0,48.3
C003,Indore,Gram,41,13,28,6,5.0,2.33,13,6,1,0,35.1
C003,Indore,Paddy,63,40,23,3,4.0,9.07,14,4,0,0,42.8
C002,Ludhiana,Paddy,18,16,2,3,7.0,7.89,13,6,1,0,8.2
C002,Ludhiana,Mustard,32,7,25,3,4.0,8.87,11,1,0,0,44.5
C003,Indore,Paddy,60,17,43,3,4.0,5.19,12,6,1,0,88.7
C003,Indore,Maize,83,39,44,6,7.0,4.65,8,0,1,0,63.4
C005,Nashik,Mustard,71,32,39,2,4.0,4.77,13,3,0,0,102.2
C004,Sehore,Gram,53,50,3,3,6.0,5.49,16,6,1,0,8.1
C002,Ludhiana,Mustard,69,26,43,5,4.0,6.99,18,6,1,0,46.3
C005,Nashik,Mustard,75,49,26,5,6.0,4.37,10,1,0,0,36.1
C002,Ludhiana,Gram,66,40,26,6,6.0,8.67,12,2,0,0,36.8
C005,Nashik,Maize,62,33,29,4,7.0,7.41,16,3,0,0,56.1
C002,Ludhiana,Maize,80,47,33,2,6.0,7.06,13,0,1,0,147.3
C003,Indore,Paddy,9,7,2,3,5.0,3.96,15,4,0,0,1.9
C004,Sehore,Maize,74,29,45,6,5.0,5.96,11,1,0,0,50.3
C001,Karnal,Soybean,83,38,45,3,5.0,5.72,16,1,0,0,78.9
C002,Ludhiana,Soybean,64,25,39,6,8.0,9.6,15,4,0,0,58.2
C004,Sehore,Gram,64,33,31,5,5.0,4.07,11,6,1,0,49.3
C005,Nashik,Soybean,38,9,29,3,6.0,7.71,11,2,0,0,77.6
C001,Karnal,Paddy,74,49,25,3,5.0,3.22,11,0,1,0,62.2
C004,Sehore,Soybean,56,29,27,2,5.0,9.24,17,5,0,1,58.8
C005,Nashik,Soybean,47,24,23,5,4.0,8.03,14,4,0,0,25.9
C005,Nashik,Paddy,50,32,18,5,5.0,5.89,14,2,0,0,25.9
C002,Ludhiana,Soybean,41,6,35,3,8.0,9.26,17,4,0,0,95.9
C004,Sehore,Paddy,25,21,4,5,5.0,5.03,11,3,0,0,6.5
C004,Sehore,Mustard,41,35,6,5,6.0,2.16,16,0,1,0,8.4
C001,Karnal,Maize,33,17,16,2,4.0,8.71,17,1,0,0,33.8
C001,Karnal,Gram,66,21,45,3,7.0,8.14,10,4,0,0,111.4
C001,Karnal,Paddy,44,6,38,4,4.0,9.43,17,5,0,0,42.1
C002,Ludhiana,Wheat,56,49,7,6,5.0,8.18,18,4,0,0,7.9
C005,Nashik,Wheat,75,47,28,4,8.0,4.96,16,5,0,0,60.8
C004,Sehore,Wheat,75,34,41,5,6.0,7.66,14,1,0,0,68.3
C003,Indore,Gram,62,32,30,6,7.0,8.61,17,2,0,0,37.6
C001,Karnal,Mustard,71,41,30,5,5.0,6.88,14,2,0,1,35.0
C002,Ludhiana,Soybean,43,26,17,3,6.0,4.24,17,5,0,0,36.3
C005,Nashik,Paddy,63,36,27,2,5.0,6.44,11,5,0,0,88.5
C004,Sehore,Wheat,45,30,15,2,6.0,7.53,12,5,0,0,57.9
C005,Nashik,Mustard,49,27,22,5,8.0,7.62,12,2,0,0,45.1
C002,Ludhiana,Mustard,61,16,45,2,8.0,3.53,15,2,0,0,187.3
C005,Nashik,Gram,36,23,13,4,4.0,3.82,10,2,0,1,12.1
C003,Indore,Wheat,68,49,19,2,8.0,9.55,18,6,1,0,88.1
C001,Karnal,Gram,64,33,31,4,7.0,4.73,8,2,0,0,57.9
C001,Karnal,Soybean,82,45,37,5,4.0,7.49,10,1,0,0,35.8
C001,Karnal,Paddy,70,43,27,2,8.0,6.77,17,1,0,0,110.8
C004,Sehore,Mustard,61,41,20,6,7.0,6.97,17,5,0,0,26.8
C002,Ludhiana,Mustard,32,16,16,2,5.0,6.42,10,0,1,0,48.7
C004,Sehore,Mustard,69,50,19,2,5.0,4.26,15,0,1,0,58.6
C005,Nashik,Maize,47,39,8,3,7.0,3.8,10,2,0,0,17.9
C002,Ludhiana,Mustard,52,33,19,6,8.0,2.99,12,5,0,0,33.0
C005,Nashik,Soybean,46,7,39,5,4.0,9.12,13,4,0,0,42.0
C005,Nashik,Gram,44,7,37,2,6.0,8.1,10,3,0,0,115.2
C003,Indore,Paddy,77,36,41,6,7.0,9.75,15,2,0,0,52.0
C001,Karnal,Paddy,81,36,45,4,7.0,4.31,14,6,1,0,116.7
C001,Karnal,Mustard,38,30,8,4,6.0,8.92,8,5,0,0,12.8
C001,Karnal,Paddy,76,36,40,6,6.0,7.0,8,1,0,0,43.3
C003,Indore,Soybean,47,45,2,5,4.0,6.87,11,5,0,0,2.4
C005,Nashik,Soybean,42,34,8,2,5.0,9.58,18,6,1,0,25.7
C003,Indore,Gram,66,35,31,4,7.0,3.95,16,1,0,0,59.7
C005,Nashik,Maize,49,31,18,3,4.0,4.72,16,2,0,0,25.3
C003,Indore,Gram,43,33,10,6,7.0,6.31,13,2,0,0,16.0
C004,Sehore,Mustard,66,29,37,3,5.0,3.87,14,0,1,0,93.0
C004,Sehore,Soybean,16,13,3,3,7.0,6.02,17,2,0,0,8.9
C004,Sehore,Wheat,15,14,1,6,7.0,5.28,18,1,0,0,2.4
C003,Indore,Mustard,52,10,42,6,7.0,8.81,18,6,1,0,63.2
C004,Sehore,Gram,25,20,5,2,8.0,7.05,12,1,0,0,25.3
C001,Karnal,Maize,60,49,11,2,7.0,4.4,8,0,1,0,43.8
C003,Indore,Mustard,54,38,16,5,5.0,5.3,18,6,1,0,19.0
C005,Nashik,Soybean,74,42,32,6,5.0,3.14,15,5,0,0,29.5
C001,Karnal,Soybean,20,9,11,4,8.0,5.53,13,4,0,0,30.7
C003,Indore,Soybean,60,35,25,4,5.0,2.85,14,4,0,0,41.2
C003,Indore,Wheat,42,41,1,5,6.0,8.92,8,4,0,0,2.7
C003,Indore,Paddy,60,45,15,6,6.0,3.52,12,5,0,0,21.6
C002,Ludhiana,Maize,53,33,20,2,4.0,2.27,13,5,0,0,54.0
C003,Indore,Maize,26,13,13,5,5.0,8.29,13,4,0,0,16.9
C002,Ludhiana,Mustard,34,12,22,5,6.0,5.75,9,1,0,0,27.9
C004,Sehore,Gram,31,5,26,4,4.0,4.12,9,3,0,0,30.1
C003,Indore,Gram,55,48,7,5,6.0,3.87,8,4,0,0,9.5
C005,Nashik,Paddy,69,24,45,2,7.0,7.19,9,1,0,1,129.5
C004,Sehore,Wheat,48,13,35,2,5.0,5.11,13,5,0,0,114.4
C005,Nashik,Soybean,73,46,27,6,5.0,2.79,15,4,0,0,27.5
C001,Karnal,Maize,62,33,29,4,5.0,9.6,13,0,1,0,55.1
C003,Indore,Wheat,25,12,13,5,6.0,9.59,15,0,1,0,20.1
C005,Nashik,Wheat,29,13,16,2,6.0,8.3,11,0,1,0,71.1
C005,Nashik,Paddy,53,43,10,3,6.0,2.02,10,1,0,0,22.4
C001,Karnal,Maize,28,27,1,2,5.0,8.32,11,4,0,0,1.9
C001,Karnal,Paddy,17,9,8,5,8.0,5.81,13,4,0,0,16.8
C002,Ludhiana,Gram,54,34,20,2,8.0,7.15,8,0,1,0,95.8
C004,Sehore,Maize,38,9,29,2,7.0,9.19,13,4,0,0,128.9
C005,Nashik,Maize,50,29,21,6,8.0,9.96,16,2,0,0,30.9
C001,Karnal,Maize,46,32,14,2,8.0,5.61,11,3,0,0,71.5
C004,Sehore,Maize,53,25,28,2,6.0,7.32,13,1,0,0,108.3
C001,Karnal,Wheat,35,28,7,2,7.0,8.49,16,0,1,0,29.3
C003,Indore,Maize,70,47,23,2,7.0,9.53,14,6,1,0,116.7
C003,Indore,Gram,48,41,7,4,6.0,6.06,10,5,0,0,12.7
C003,Indore,Gram,59,41,18,4,4.0,3.81,14,6,1,0,29.1
C005,Nashik,Gram,86,47,39,6,4.0,8.64,12,0,1,0,42.9
C003,Indore,Mustard,26,14,12,4,4.0,6.53,14,0,1,0,19.2
C001,Karnal,Wheat,56,31,25,6,5.0,5.63,10,2,0,0,23.1
C005,Nashik,Gram,25,15,10,2,4.0,8.04,8,5,0,0,21.0
C004,Sehore,Soybean,49,22,27,6,7.0,3.72,16,0,1,0,37.9
C005,Nashik,Soybean,22,19,3,6,6.0,5.16,17,0,1,0,3.0
C002,Ludhiana,Paddy,33,12,21,4,6.0,2.06,14,1,0,0,42.0
C002,Ludhiana,Gram,35,30,5,6,6.0,8.89,8,3,0,1,6.3
C003,Indore,Gram,76,50,26,5,8.0,7.12,12,0,1,0,64.8
C002,Ludhiana,Gram,38,32,6,5,6.0,8.76,11,3,0,0,9.8
C004,Sehore,Mustard,37,15,22,4,5.0,2.61,18,0,1,0,33.0
C003,Indore,Mustard,21,14,7,3,5.0,4.05,10,4,0,0,13.5
C001,Karnal,Paddy,79,42,37,5,7.0,5.59,17,5,0,0,56.7
C003,Indore,Paddy,64,33,31,5,4.0,7.05,12,4,0,0,34.7
C003,Indore,Soybean,32,28,4,5,4.0,8.65,9,5,0,0,5.1
C005,Nashik,Gram,72,42,30,6,7.0,6.43,8,3,0,0,38.9
C002,Ludhiana,Mustard,47,14,33,6,7.0,9.66,15,0,1,0,49.6
C001,Karnal,Gram,66,50,16,3,4.0,5.5,15,4,0,0,21.9
C003,Indore,Mustard,70,48,22,5,7.0,6.78,18,5,0,0,32.8
C005,Nashik,Maize,64,47,17,5,6.0,9.72,17,6,1,0,23.8
C002,Ludhiana,Mustard,52,43,9,4,7.0,7.67,9,2,0,0,17.4
C003,Indore,Paddy,89,47,42,6,4.0,5.39,13,0,1,0,44.0
C002,Ludhiana,Mustard,28,13,15,5,5.0,3.24,12,6,1,0,23.4
C005,Nashik,Maize,69,26,43,6,4.0,9.01,17,1,0,0,32.4
C002,Ludhiana,Maize,36,7,29,6,5.0,5.29,18,5,0,0,27.4
C003,Indore,Maize,55,20,35,5,5.0,4.48,15,6,1,0,45.2
C005,Nashik,Soybean,62,37,25,5,6.0,6.22,10,6,1,0,37.9
C003,Indore,Wheat,47,11,36,5,6.0,7.69,16,6,1,0,52.3
C002,Ludhiana,Mustard,42,32,10,5,8.0,2.73,11,6,1,0,23.6
C001,Karnal,Soybean,61,28,33,2,7.0,3.89,9,2,0,0,118.7
C001,Karnal,Maize,16,7,9,4,5.0,4.3,15,5,0,0,13.4
C004,Sehore,Soybean,12,6,6,6,4.0,4.05,10,4,0,0,5.2
C004,Sehore,Wheat,32,12,20,4,5.0,2.38,14,5,0,0,33.5
C001,Karnal,Soybean,47,45,2,6,8.0,6.12,11,5,0,0,3.3
C005,Nashik,Mustard,43,16,27,3,8.0,7.31,9,4,0,0,73.5
C005,Nashik,Gram,42,6,36,6,8.0,5.12,15,0,1,0,61.4
C003,Indore,Maize,32,27,5,2,6.0,3.93,18,5,0,0,15.9
C003,Indore,Paddy,61,26,35,2,6.0,8.51,10,6,1,0,124.8
C004,Sehore,Maize,55,50,5,3,5.0,8.21,15,0,1,0,8.4
C002,Ludhiana,Wheat,63,30,33,4,6.0,9.91,16,3,0,0,54.5
C002,Ludhiana,Mustard,68,26,42,4,4.0,4.19,13,3,0,0,58.5
C004,Sehore,Mustard,81,36,45,3,7.0,4.94,16,2,0,0,111.3
C001,Karnal,Soybean,58,23,35,6,5.0,4.57,9,2,0,0,32.6
C005,Nashik,Maize,78,33,45,5,5.0,4.81,8,5,0,0,49.8
C004,Sehore,Mustard,88,45,43,2,4.0,5.25,16,6,1,0,102.7
C001,Karnal,Paddy,16,13,3,6,7.0,2.54,18,2,0,0,5.7
C001,Karnal,Gram,52,28,24,3,7.0,5.55,9,4,0,0,58.3
C003,Indore,Maize,14,6,8,4,5.0,7.89,15,4,0,0,11.2
C003,Indore,Mustard,63,23,40,5,5.0,7.55,15,1,0,0,46.2
C004,Sehore,Paddy,69,25,44,5,4.0,7.34,9,4,0,0,42.0
C002,Ludhiana,Maize,52,19,33,3,6.0,2.97,11,6,1,0,100.0
C001,Karnal,Mustard,58,34,24,6,8.0,8.43,16,1,0,0,33.2
C003,Indore,Soybean,58,31,27,5,8.0,8.59,9,1,0,0,47.0
C004,Sehore,Soybean,49,40,9,6,6.0,7.12,10,6,1,0,11.2
C001,Karnal,Wheat,35,15,20,6,5.0,3.3,11,2,0,0,23.3
C003,Indore,Wheat,81,40,41,4,5.0,4.2,18,2,0,0,54.5
C002,Ludhiana,Gram,58,47,11,6,5.0,7.0,17,2,0,0,10.7
C001,Karnal,Wheat,63,46,17,2,8.0,3.69,17,3,0,0,68.2
C005,Nashik,Mustard,64,48,16,4,7.0,5.25,15,0,1,0,32.8
C004,Sehore,Soybean,65,43,22,5,5.0,3.15,13,5,0,0,29.5
C004,Sehore,Paddy,47,11,36,4,8.0,4.55,15,0,1,0,86.1
C001,Karnal,Wheat,71,31,40,4,7.0,3.99,10,6,1,0,85.6
C003,Indore,Paddy,67,34,33,3,7.0,5.99,12,3,0,1,82.7
C005,Nashik,Soybean,65,27,38,3,5.0,2.39,12,3,0,0,85.1
C004,Sehore,Mustard,39,32,7,6,4.0,3.07,12,5,0,0,6.3
C001,Karnal,Soybean,53,17,36,2,8.0,4.9,12,0,1,0,211.1
C005,Nashik,Mustard,21,13,8,6,8.0,9.8,14,2,0,0,13.6
C003,Indore,Paddy,63,30,33,3,8.0,6.0,8,0,1,0,104.5
C004,Sehore,Gram,76,37,39,5,5.0,3.12,17,2,0,0,45.6
C003,Indore,Gram,72,39,33,4,8.0,5.92,17,2,0,0,68.0
C003,Indore,Maize,62,24,38,2,7.0,8.37,18,0,1,0,156.6
C005,Nashik,Gram,73,35,38,3,4.0,3.36,18,5,0,0,56.6
C002,Ludhiana,Maize,86,49,37,3,4.0,2.88,8,3,0,0,52.4
C002,Ludhiana,Soybean,39,8,31,6,8.0,7.65,16,1,0,0,47.0
C004,Sehore,Gram,46,34,12,5,6.0,9.3,13,4,0,0,20.5
C003,Indore,Gram,38,22,16,5,5.0,6.46,11,2,0,0,22.7
C004,Sehore,Mustard,58,22,36,5,6.0,4.3,17,5,0,0,49.1
C004,Sehore,Mustard,26,23,3,3,6.0,9.64,9,2,0,0,7.0
C004,Sehore,Paddy,58,40,18,3,8.0,7.57,10,0,1,0,57.7
C002,Ludhiana,Wheat,60,19,41,6,5.0,2.42,14,2,0,0,46.0
C002,Ludhiana,Wheat,73,46,27,6,5.0,9.48,15,3,0,0,26.8
C003,Indore,Mustard,52,46,6,4,4.0,6.59,16,5,0,0,8.5
C002,Ludhiana,Soybean,62,36,26,3,4.0,3.49,12,0,1,0,53.2
C001,Karnal,Mustard,81,39,42,4,7.0,6.19,10,6,1,0,88.7
C001,Karnal,Mustard,63,21,42,3,7.0,7.75,8,5,0,0,102.2
C002,Ludhiana,Paddy,65,37,28,6,7.0,4.62,14,5,0,0,46.1
C004,Sehore,Mustard,46,29,17,3,4.0,3.88,12,2,0,0,31.3
C001,Karnal,Mustard,51,47,4,4,5.0,2.95,12,1,0,0,6.7
C003,Indore,Maize,68,44,24,2,6.0,3.77,10,3,0,0,75.9
C005,Nashik,Mustard,70,39,31,5,8.0,8.42,11,6,1,0,76.0
C001,Karnal,Gram,33,9,24,5,8.0,9.34,9,0,1,0,48.7
C002,Ludhiana,Gram,36,25,11,6,5.0,8.84,15,0,1,0,12.7
C004,Sehore,Wheat,38,34,4,6,7.0,3.06,14,3,0,0,6.5
C003,Indore,Maize,22,5,17,2,7.0,7.97,17,0,1,0,69.8
C001,Karnal,Gram,38,7,31,2,4.0,4.3,10,6,1,0,75.6
C004,Sehore,Mustard,54,29,25,5,7.0,2.64,18,6,1,0,43.9
C003,Indore,Wheat,64,38,26,3,8.0,3.02,11,6,1,0,100.9
C003,Indore,Soybean,64,29,35,6,7.0,8.59,11,3,0,0,54.3
C001,Karnal,Wheat,22,20,2,5,8.0,3.65,9,4,0,1,3.2
C001,Karnal,Paddy,48,19,29,2,7.0,6.32,8,1,0,0,104.1
C005,Nashik,Mustard,69,25,44,6,8.0,3.9,10,5,0,0,63.6
C003,Indore,Wheat,57,45,12,6,8.0,7.43,16,3,0,1,13.6
C004,Sehore,Gram,41,14,27,4,7.0,4.4,10,6,1,0,56.5
C002,Ludhiana,Mustard,44,40,4,3,7.0,5.3,14,4,0,0,11.7
C003,Indore,Paddy,57,28,29,4,4.0,2.74,11,0,1,0,45.9
C005,Nashik,Wheat,85,47,38,2,5.0,6.47,15,1,0,0,98.9
C001,Karnal,Paddy,51,20,31,3,4.0,7.57,11,3,0,0,55.6
C003,Indore,Soybean,69,27,42,5,8.0,4.47,13,4,0,0,88.9
C004,Sehore,Mustard,52,31,21,3,6.0,2.37,11,5,0,0,54.1
C005,Nashik,Gram,27,17,10,5,6.0,4.64,14,4,0,0,16.2
C003,Indore,Mustard,45,15,30,5,7.0,7.86,13,1,0,0,56.3
C002,Ludhiana,Gram,12,9,3,2,8.0,9.56,18,0,1,0,13.8
C002,Ludhiana,Wheat,51,37,14,3,4.0,5.65,8,4,0,0,22.1
C004,Sehore,Maize,40,39,1,5,4.0,6.41,8,0,1,0,1
C003,Indore,Wheat,23,11,12,6,7.0,9.34,16,1,0,0,15.9
C003,Indore,Mustard,34,28,6,4,7.0,9.67,15,4,0,0,12.0
C003,Indore,Maize,36,30,6,2,4.0,5.03,16,3,0,0,10.8
C002,Ludhiana,Wheat,68,26,42,5,7.0,6.53,9,4,0,0,62.8
C005,Nashik,Soybean,53,48,5,4,4.0,9.4,16,4,0,0,4.3
C003,Indore,Wheat,60,50,10,3,8.0,8.57,9,2,0,0,26.8
C004,Sehore,Maize,38,13,25,6,6.0,8.32,9,4,0,0,27.4
C001,Karnal,Soybean,65,43,22,3,4.0,8.15,17,3,0,0,31.3
C003,Indore,Soybean,63,40,23,5,5.0,9.53,14,1,0,0,32.2
C001,Karnal,Gram,15,10,5,4,5.0,4.14,14,5,0,0,7.0
C004,Sehore,Mustard,11,5,6,4,4.0,9.54,15,2,0,0,5.1
C001,Karnal,Paddy,76,40,36,5,7.0,6.1,9,0,1,0,62.5
C005,Nashik,Gram,24,23,1,4,7.0,5.31,9,5,0,0,3.5
C002,Ludhiana,Gram,73,29,44,6,5.0,3.36,12,2,0,0,49.7
C002,Ludhiana,Soybean,55,35,20,4,7.0,8.26,13,2,0,0,47.0
C004,Sehore,Gram,41,11,30,6,5.0,3.08,8,3,0,0,29.1
C003,Indore,Soybean,85,43,42,4,7.0,3.09,13,4,0,0,95.7
C003,Indore,Paddy,68,49,19,5,6.0,7.06,17,6,1,0,28.0
C004,Sehore,Mustard,55,42,13,2,8.0,9.98,10,5,0,0,51.7
C004,Sehore,Maize,68,49,19,3,7.0,2.55,14,5,0,0,58.2
C002,Ludhiana,Mustard,34,9,25,3,7.0,5.59,17,3,0,0,61.5
C004,Sehore,Gram,84,39,45,2,6.0,6.75,9,0,1,0,161.3
C003,Indore,Paddy,83,46,37,6,4.0,7.42,14,6,1,0,41.1
C001,Karnal,Wheat,52,37,15,2,6.0,7.97,16,4,0,0,45.7
C003,Indore,Soybean,82,37,45,5,8.0,3.21,8,3,0,0,77.1
